t,a,e,inclination,lon_asc_node,arg_peri,true_anom
0.0,0.19921642772287435,0.99972462459691,7.004242519438628,0.8432545709705547,-80.57806267633933,0.01612009704819022
365250.0,0.1955137327958835,0.9997194306154258,6.944802311964951,0.8211804860136599,-72.71068678286322,0.016431048019272726
730500.0,0.19172029076967256,0.9997139053773905,6.885835161130831,0.7988227580654654,-64.63657616978703,0.016755552129254836
1095750.0,0.18785358730790355,0.9997080380920916,6.827553138890912,0.776096809713635,-56.31731378046537,0.01709324805308531
1461000.0,0.18395559775639062,0.9997018733430679,6.770064645126199,0.7530390204947608,-47.744378044722225,0.01744098718170365
1826250.0,0.1800659515654855,0.9996954578470466,6.7136870425104735,0.729624022854723,-38.90559885228584,0.01779568003431942
2191500.0,0.17622240918029486,0.999688833203333,6.658616320526966,0.7058027474243135,-29.763784841191466,0.018154504866448574
2556750.0,0.17249152735616258,0.9996821251822486,6.604791729628606,0.6815919362033567,-20.33564282661394,0.018510821322212875
2922000.0,0.16890855597771293,0.9996753992325816,6.55280183395329,0.6569877564386616,-10.580085796230883,0.01886125489267206
3287250.0,0.16555519489325296,0.9996688423195988,6.502378014774594,0.6319328508699639,-0.5188594813175712,0.01919670797546098
3652500.0,0.1624824120060156,0.9996625950743208,6.453897959362429,0.6064625955151975,9.85941581728089,0.019510956470748138
4017750.0,0.1597573877420971,0.9996568538171909,6.407586494378592,0.5805526361281051,20.542136559744627,0.01979532621943842
4383000.0,0.15745349493082872,0.9996518448247373,6.363257624410214,0.5541713361861,31.492526331267566,0.020040140503742285
4748250.0,0.15561578005090684,0.999647743732091,6.321408769589586,0.5273689315141007,42.7003049273229,0.020238387142412505
5113500.0,0.15431002980218547,0.9996447699793244,6.281973538479239,0.5000780403387995,54.09274533942493,0.020380911702769334
5478750.0,0.15356414575420374,0.9996430500443818,6.245022966658762,0.4723430704306111,65.63730307312491,0.02046293745842747
5844000.0,0.1534062390836095,0.9996426864101666,6.210840173844631,0.4441584481409733,77.25574985984537,0.020480268143748457
6209250.0,0.15384410206518653,0.9996437007407037,6.179434415337776,0.41549740862221046,88.885149181263,0.020432009202187136
6574500.0,0.15485594178162884,0.9996460314167598,6.150804499519237,0.38643693590042194,79.49035373066401,0.020320803478507284
6939750.0,0.15642490953578872,0.9996495731252664,6.125339780492321,0.3569120021459436,68.0353569214651,0.02015042916112708
7305000.0,0.15849774937936542,0.9996541516912706,6.102777439089019,0.32699303478270686,56.734467560157654,0.01992813783719535
7670250.0,0.16102296981158312,0.9996595666725502,6.083395839571319,0.2967004423023514,45.656117444878724,0.019661925668262945
8035500.0,0.16394227992503305,0.9996656151530544,6.067319455286189,0.26603601100710306,34.81552683405759,0.019360173887910295
8400750.0,0.16718020791052396,0.9996720814197942,6.054290827508484,0.23503232544847502,24.240231608437856,0.01903236203562367
8766000.0,0.17068475532776756,0.9996787946093108,6.044680628160033,0.20376973878382193,13.946044167296431,0.018685772890737123
9131250.0,0.17437705351404348,0.9996855813874588,6.0382463167750196,0.17221640012520298,3.92201647121075,0.01832881733324519
9496500.0,0.1782071012581253,0.9996923172542083,6.034984693567708,0.14046987435881692,-5.815505552566907,0.017967375432175334
9861750.0,0.18211696371274289,0.9996989013015342,6.034931535172519,0.10856040945324395,-15.29346260041092,0.017606879288818114
10227000.0,0.18605088260684327,0.999705246111053,6.037863784676773,0.07648950987296517,-24.511123188318848,0.017252333816660987
10592250.0,0.18997786002425537,0.9997113127035958,6.043611019393775,0.04439354661866736,-33.48671184292485,0.01690622650412186
10957500.0,0.19384274795033637,0.9997170427621774,6.052211112278034,0.012216184555972363,-42.23497752863392,0.01657263616985472
11322750.0,0.19762631735328842,0.9997224334894729,6.063129073426656,-0.01993674849134031,-50.7706477211589,0.01625248086940309
11688000.0,0.20129041137311074,0.9997274557838076,6.07637125408058,-0.0520389835659447,-59.11024302475952,0.01594823676610377
12053250.0,0.20481166332627715,0.9997321132087434,6.091591511301299,-0.0840793777209768,-67.26665085662128,0.015660792415649848
12418500.0,0.20817729140546282,0.9997364129024038,6.10828924097652,-0.11599881110167742,-75.26068892364479,0.015390482490077743
12783750.0,0.21135425603544541,0.9997403444001047,6.126462014609712,-0.14778662314922866,-83.09886246617984,0.015139001590040143
13149000.0,0.2143445944230603,0.9997439360693313,6.1454682836039325,-0.17944216614303646,-89.22554776354198,0.01490543402765024
13514250.0,0.21712684177685618,0.9997471850775853,6.164887690153384,-0.2109129566865568,-81.64734671266349,0.01469078480364468
13879500.0,0.21969085733944071,0.9997501050787845,6.184729720315476,-0.24223266910436603,-74.1778048892243,0.014495077155228854
14244750.0,0.22203811601490384,0.999752715656775,6.203971486471637,-0.2733974332146734,-66.80514896110547,0.014317690670897098
14610000.0,0.2241484531811254,0.9997550130333096,6.222743475317985,-0.30438948522528886,-59.52246481205203,0.014159591797396188
14975250.0,0.22603389500266677,0.9997570276539238,6.240362455908134,-0.33526279676223497,-52.307939542084256,0.014019420165632495
15340500.0,0.22767770374150822,0.999758753292803,6.256450799080605,-0.36603007261991716,-45.16028796893707,0.013898054915371692
15705750.0,0.22908468541026508,0.9997602085152129,6.270705133376749,-0.39669009876635253,-38.06146170588743,0.013794768148767834
16071000.0,0.23025845718809593,0.9997614080336872,6.282787590333894,-0.42735243007126084,-31.001624006637485,0.013709012132169983
16436250.0,0.23118512492179558,0.9997623413574832,6.29210684444018,-0.4579779041910907,-23.974388162343814,0.013641671614959345
16801500.0,0.23188184845616855,0.9997630379087458,6.298753275574725,-0.48868019361626946,-16.96123982014647,0.013591202163267545
